name,internal,description,billingstatementidentifier,shards,permissions,reqsubs,subCategory,alvl,dependent,categories,dontAssociate,keyValueChanges,itemID,prices,taxClassification,prerequisites,daysGranted,subGranted,activationKeyPrefix,expireDays,xboxOfferID,xboxContentID,recruitUpgraded,referredProduct,recruitBilled,,,,,,
PRD-STO-DEMO-Cryptic,startrek,Star Trek Online Demo - Cryptic Studios,,Live,token: justpatch,,,,,pc-sto-web,,STO-demo_Cryptic = 1,,,,PRD-STO-R < 1,0,,,0,0,0,,,,"loc:""en-US"":""Star Trek Online Demo - Cryptic Studios"":"""","loc:""fr"":""Démo de Star Trek Online - Cryptic Studios"":"""","loc:""en"":""Star Trek Online Demo - Cryptic Studios"":"""","loc:""de"":""Star Trek Online Demo - Cryptic Studios"":"""","loc:""it"":""Star Trek Online itmo - Cryptic Studios"":"""","loc:""es"":""Star Trek Online esmo - Cryptic Studios"":""""
PRD-STO-DEMO-CrypticTest,startrek,Star Trek Online Demo - Cryptic Studios Internal Test,,Live,token: justpatch,,,,,pc-sto-web,,STO-demo_CrypticTest = 1,,,,PRD-STO-R < 1,0,,,0,0,0,,,,"loc:""en-US"":""Star Trek Online Demo - Cryptic Studios Internal Test"":"""","loc:""fr"":""Démo de Star Trek Online - Cryptic Studios Internal Test"":"""","loc:""en"":""Star Trek Online Demo - Cryptic Studios Internal Test"":"""","loc:""de"":""Star Trek Online Demo - Cryptic Studios Internal Test"":"""","loc:""it"":""Star Trek Online itmo - Cryptic Studios Internal Test"":"""","loc:""es"":""Star Trek Online esmo - Cryptic Studios Internal Test"":""""
PRD-STO-DEMO-D2D,startrek,Star Trek Online Demo - Direct2Drive,,Live,token: justpatch,,,,,pc-sto-web,,STO-demo_D2D=1,,,,PRD-STO-R < 1,0,,,0,0,0,,,,"loc:""en-US"":""Star Trek Online Demo - Direct2Drive"":"""","loc:""fr"":""Démo de Star Trek Online - Direct2Drive"":"""","loc:""en"":""Star Trek Online Demo - Direct2Drive"":"""","loc:""de"":""Star Trek Online Demo - Direct2Drive"":"""","loc:""it"":""Star Trek Online itmo - Direct2Drive"":"""","loc:""es"":""Star Trek Online esmo - Direct2Drive"":""""
PRD-STO-DEMO-DigitalRiver,startrek,Star Trek Online Demo - Digital River,,Live,token: justpatch,,,,,pc-sto-web,,STO-demo_DigitalRiver=1,,,,PRD-STO-R < 1,0,,,0,0,0,,,,"loc:""en-US"":""Star Trek Online Demo - Digital River"":"""","loc:""fr"":""Démo de Star Trek Online - Digital River"":"""","loc:""en"":""Star Trek Online Demo - Digital River"":"""","loc:""de"":""Star Trek Online Demo - Digital River"":"""","loc:""it"":""Star Trek Online itmo - Digital River"":"""","loc:""es"":""Star Trek Online esmo - Digital River"":""""
PRD-STO-DEMO-Steam,startrek,Star Trek Online Demo - Steam,,Live,token: justpatch,,,,,pc-sto-web,,STO-demo_Steam = 1,,,,PRD-STO-R < 1,0,,,0,0,0,,,,"loc:""en-US"":""Star Trek Online Demo - Steam"":"""","loc:""fr"":""Démo de Star Trek Online - Steam"":"""","loc:""en"":""Star Trek Online Demo - Steam"":"""","loc:""de"":""Star Trek Online Demo - Steam"":"""","loc:""it"":""Star Trek Online itmo - Steam"":"""","loc:""es"":""Star Trek Online esmo - Steam"":""""
PRD-STO-DEMO-Atari,startrek,Star Trek Online Demo - Atari,,Live,token: justpatch,,,,,pc-sto-web,,STO-demo_Atari = 1,,,,PRD-STO-R < 1,0,,,0,0,0,,,,"loc:""en-US"":""Star Trek Online Demo - Atari"":"""","loc:""fr"":""Démo de Star Trek Online - Atari"":"""","loc:""en"":""Star Trek Online Demo - Atari"":"""","loc:""de"":""Star Trek Online Demo - Atari"":"""","loc:""it"":""Star Trek Online itmo - Atari"":"""","loc:""es"":""Star Trek Online esmo - Atari"":""""
PRD-STO-Recruit,StarTrek,Friend Referral Trial,,Live,token: justpatch,,,0,0,pc-sto-web,0,,,,,PRD-STO-R < 1,0,,,90,,,PRD-STO-RAF-RecruiterUpgradedBonus,,PRD-STO-RAF-RecruiterBilledBonus,"loc:""en-US"":""Friend Referral Trial"":""""","loc:""en"":""Friend Referral Trial"":""""",,,,
PRD-STO-M-TI-Courier,StarTrek,Title - Courier,,,,,,0,0,ST.SpecialItems,1,,ST.Item.Title_Gen_Courier,0 _CrypticPoints,,STORecruitUpgradedBonus > 0,0,,,,,,,,,"loc:""en-US"":""Title - Courier"":""""","loc:""en"":""Title - Courier"":""""","kv:""AddToBestBag"":""1""",,,
PRD-STO-M-TI-Recruiter,StarTrek,Title - Recruiter,,,,,,0,0,ST.SpecialItems,1,,ST.Item.Title_Gen_Recruiter,0 _CrypticPoints,,STORecruitBilledBonus >= 2,0,,,,,,,,,"loc:""en-US"":""Title - Recruiter"":""""","loc:""en"":""Title - Recruiter"":""""","kv:""AddToBestBag"":""1""",,,
PRD-STO-M-TI-MasterRecruiter,StarTrek,Title - Master Recruiter,,,,,,0,0,ST.SpecialItems,1,,,0 _CrypticPoints,,STORecruitBilledBonus >= 5,0,,,,,,,,,"loc:""en-US"":""Title - Master Recruiter"":""""","loc:""en"":""Title - Master Recruiter"":""""","kv:""AddToBestBag"":""1""",,,
